Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017]
Montenegro,MNE,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,73.70159825
Montserrat,MSR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,84.57853077
Morocco,MAR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,57.50283858
Mozambique,MOZ,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,43.19696613
Myanmar,MMR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,36.80649414
Namibia,NAM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,67.53742488
Nauru,NRU,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Nepal,NPL,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,29.76312605
Netherlands,NLD,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,141.2533624
New Caledonia,NCL,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
New Zealand,NZL,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,140.9710352
Nicaragua,NIC,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,56.13300496
Niger,NER,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,49.29385102
Nigeria,NGA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,38.99910845
Niue,NIU,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
North America (ICP),NAB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,128.9440291
North Macedonia,MKD,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,53.8565385
Northern Mariana Islands,MNP,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Norway,NOR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,206.574259
Oman,OMN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,58.29063779
Pakistan,PAK,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,41.76431136
Palau,PLW,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Panama,PAN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,80.55311513
Papua New Guinea,PNG,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Paraguay,PRY,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,60.50274215
Peru,PER,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,72.11569021
Philippines,PHL,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,48.52119565
Poland,POL,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,92.39789956
Portugal,PRT,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,96.816308
Puerto Rico,PRI,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Qatar,QAT,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,94.26712771
Romania,ROU,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,66.03596925
Russian Federation,RUS,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,80.01194502
Rwanda,RWA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,53.87436755
Samoa,WSM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
San Marino,SMR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
São Tomé and Principe,STP,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,57.2479944
Saudi Arabia,SAU,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,60.33244199
Senegal,SEN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,70.54904479
Serbia,SRB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,63.25362669
Seychelles,SYC,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,160.0224027
Sierra Leone,SLE,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,36.55718997
Singapore,SGP,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,70.36945395
Sint Maarten,SXM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,128.4824138
Slovakia,SVK,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,94.58143928
Slovenia,SVN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,102.9940909
Solomon Islands,SLB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Somalia,SOM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
South Africa,ZAF,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,62.93258721
South Asia (ICP),SAB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,42.20694997
South Sudan,SSD,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Spain,ESP,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,107.2845429
Sri Lanka,LKA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,49.52610858
St. Kitts and Nevis,KNA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,136.6726485
St. Lucia,LCA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,113.9733747
St. Vincent and the Grenadines,VCT,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,131.1559861
Sub-Saharan Africa (ICP),SSB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,46.82731794
Sudan,SDN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,28.80074596
Suriname,SUR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,57.35466626
Sweden,SWE,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,182.9232602
Switzerland,CHE,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,203.177722
Syrian Arab Republic,SYR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
"Taiwan, China",TWN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,56.020681
Tajikistan,TJK,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,64.4539346
Tanzania,TZA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,30.1264607
Thailand,THA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,40.40215353
Timor-Leste,TLS,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Togo,TGO,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,69.42493745
Tokelau,TKL,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Tonga,TON,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Trinidad and Tobago,TTO,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,120.760471
Tunisia,TUN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,37.85795173
Turkey,TUR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,78.21831335
Turkmenistan,TKM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Turks and Caicos Islands,TCA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,162.153276
Tuvalu,TUV,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Uganda,UGA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,59.96537802
Ukraine,UKR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,32.17265526
United Arab Emirates,ARE,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,93.47493072
United Kingdom,GBR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,131.7524872
United States,USA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,127.7137326
Uruguay,URY,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,114.6413404
Uzbekistan,UZB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Vanuatu,VUT,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
"Venezuela, RB",VEN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Vietnam,VNM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,35.00671527
"Virgin Islands, British",VGB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,116.8791466
Wallis and Futuna,WLF,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
West Bank and Gaza,PSE,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,96.52524514
WORLD,WLD,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,100
Yemen,YEM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Zambia,ZMB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,47.62332833
Zimbabwe,ZWE,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,73.26940021
Afghanistan,AFG,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
,,,,,,
,,,,,,
,,,,,,
Data from database: ICP 2017,,,,,,
Last Updated: 10/21/2020,,,,,,
